"f0_box","temp","date_collected","sex","pronotum","rwing_length","rwing_width","lwing_length","lwing_width","rep","pron.w.ratio","sw.yn","rearing_density","days_to_hatch"
"C","25","20/08/2021","F",3.86,13.3,"","",NA,"C.25.20/08/2021",0.290225563909774,"Lw",113,NA
"C","25","20/08/2021","F",4.15,13.24,"","",NA,"C.25.20/08/2021",0.313444108761329,"Lw",113,NA
"C","25","20/08/2021","F",4.07,13.96,"","",NA,"C.25.20/08/2021",0.291547277936963,"Lw",113,NA
"C","25","20/08/2021","F",3.91,13.47,"","",NA,"C.25.20/08/2021",0.290274684484039,"Lw",113,NA
"C","25","20/08/2021","F",4.2,13.91,"","",NA,"C.25.20/08/2021",0.301941049604601,"Lw",113,NA
"C","25","20/08/2021","F",3.92,13.63,"","",NA,"C.25.20/08/2021",0.287600880410858,"Lw",113,NA
"C","25","20/08/2021","F",4.29,13.81,"","",NA,"C.25.20/08/2021",0.310644460535844,"Lw",113,NA
"C","25","20/08/2021","F",3.79,13.18,"","",NA,"C.25.20/08/2021",0.287556904400607,"Lw",113,NA
"C","25","20/08/2021","F",3.98,13.29,"","",NA,"C.25.20/08/2021",0.299473288186607,"Lw",113,NA
"C","25","20/08/2021","F",4,13.72,"","",NA,"C.25.20/08/2021",0.291545189504373,"Lw",113,NA
"C","25","20/08/2021","F",4.08,13.34,"","",NA,"C.25.20/08/2021",0.305847076461769,"Lw",113,NA
"C","25","20/08/2021","F",3.95,13.35,"","",NA,"C.25.20/08/2021",0.295880149812734,"Lw",113,NA
"C","25","20/08/2021","F",4.33,14.2,"","",NA,"C.25.20/08/2021",0.304929577464789,"Lw",113,NA
"C","25","20/08/2021","F",4.22,13.7,"","",NA,"C.25.20/08/2021",0.308029197080292,"Lw",113,NA
"C","25","20/08/2021","F",4.02,13.2,"","",NA,"C.25.20/08/2021",0.304545454545455,"Lw",113,NA
"C","25","20/08/2021","F",4.2,14.35,"","",NA,"C.25.20/08/2021",0.292682926829268,"Lw",113,NA
"C","25","20/08/2021","F",4.09,13.28,"","",NA,"C.25.20/08/2021",0.307981927710843,"Lw",113,NA
"C","25","20/08/2021","F",4.2,13.89,"","",NA,"C.25.20/08/2021",0.302375809935205,"Lw",113,NA
"C","25","20/08/2021","F",4.01,13.38,"","",NA,"C.25.20/08/2021",0.299701046337818,"Lw",113,NA
"C","25","20/08/2021","F",4.23,13.32,"","",NA,"C.25.20/08/2021",0.317567567567568,"Lw",113,NA
"C","25","20/08/2021","F",3.96,13.49,"","",NA,"C.25.20/08/2021",0.293550778354337,"Lw",113,NA
"C","25","20/08/2021","F",4.08,13.21,"","",NA,"C.25.20/08/2021",0.30885692657078,"Lw",113,NA
"C","25","20/08/2021","F",4.18,13.86,"","",NA,"C.25.20/08/2021",0.301587301587302,"Lw",113,NA
"C","25","20/08/2021","F",3.87,13.39,"","",NA,"C.25.20/08/2021",0.289021657953697,"Lw",113,NA
"C","25","20/08/2021","F",4.16,13.68,"","",NA,"C.25.20/08/2021",0.304093567251462,"Lw",113,NA
"C","25","20/08/2021","F",4.01,13.36,"","",NA,"C.25.20/08/2021",0.300149700598802,"Lw",113,NA
"C","25","20/08/2021","F",3.97,13.85,"","",NA,"C.25.20/08/2021",0.286642599277978,"Lw",113,NA
"C","25","20/08/2021","M",4.24,13.87,"5.02","",NA,"C.25.20/08/2021",0.305695746214852,"Lw",113,NA
