"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","chr","start","end"
"1","MSTRG.1",1207.578695,-0.142968387,0.051059229,0.003076241,0.01091828,"1",1813677,1814115
"5","MSTRG.10",6742.802161,-0.001938847,0.068909533,0.975313294,0.985482998,"1",4615724,4616018
"23","MSTRG.100",12248.61648,-0.085918274,0.044996209,0.046590665,0.103293535,"1",26539690,26544204
"97","MSTRG.1000",12304.90413,0.160416239,0.047182521,0.000359,0.001798776,"1",257321373,257321509
"101","MSTRG.10000",11716.93907,0.008261322,0.031675742,0.790213933,0.867535652,"7",89922187,89923924
"108","MSTRG.10001",5776.929358,0.258723402,0.090880305,0.000763,0.003398933,"7",89924316,89929151
"118","MSTRG.10002",12345.38617,0.152110528,0.054286415,0.002839369,0.010199146,"7",89930929,89931100
"134","MSTRG.10003",1414.558515,-0.050672812,0.050610007,0.291860324,0.434453319,"7",90034188,90034363
"144","MSTRG.10004",5182.965768,0.26054581,0.096194137,0.00114076,0.004760224,"7",90041399,90042937
"146","MSTRG.10005",78.13863529,2.119424937,0.717905941,2.4e-05,0.000184,"7",90175036,90201850
"150","MSTRG.10006",26968.2589,0.526131799,0.144424532,8.74e-06,8.04e-05,"7",90098436,90098601
"224","MSTRG.10007",3448.763755,0.043906871,0.030708122,0.145136157,0.256062672,"7",90209979,90210084
"232","MSTRG.10008",1630.221874,0.618752651,0.117878026,7.76e-09,2.08e-07,"7",90227752,90227945
"245","MSTRG.10009",764.7806474,-0.128946229,0.066547621,0.033601745,0.079425002,"7",90245589,90245706
"251","MSTRG.1001",12886.03186,0.048410843,0.038012956,0.189906031,0.315131507,"1",257327662,257327815
"255","MSTRG.10010",878.0987219,-0.034347508,0.074191913,0.605029649,0.728186107,"7",90245947,90247086
"257","MSTRG.10011",286.5202388,-1.511033091,0.358870132,1.15e-06,1.52e-05,"7",90468983,90469173
"263","MSTRG.10012",4064.267867,-0.245185943,0.070215297,9.94e-05,0.000608,"7",90262209,90262395
"318","MSTRG.10013",65.91917475,1.164961134,0.649607381,0.001349842,0.005457068,"7",90509491,90510273
"320","MSTRG.10014",3263.676938,0.224050863,0.066066224,0.000188,0.00103577,"7",90490863,90507842
"354","MSTRG.10015",366.2076325,1.564878152,0.557958133,8.36e-05,0.000524,"7",90524522,90524678
"362","MSTRG.10016",2165.446863,-2.032286628,0.381990624,1.37e-09,4.63e-08,"7",90569809,90569914
"378","MSTRG.10017",214.8160295,0.068730288,0.21797288,0.542942567,0.676228258,"7",90652281,90652391
"386","MSTRG.10018",251.3934814,-0.369167667,0.233673671,0.010119614,0.029507283,"7",90811864,90812085
"392","MSTRG.10019",1467.24677,0.125392542,0.068194915,0.042864725,0.096442633,"7",90862287,90862325
"398","MSTRG.1002",33.64979062,2.631936378,1.466751177,0.000221,0.001184697,"1",259513131,259513523
"400","MSTRG.10020",567.0637997,0.018412503,0.154420438,0.85221657,0.907353024,"7",90900804,90901760
"406","MSTRG.10021",739.8482164,-0.096730594,0.116405708,0.278646264,0.419797098,"7",90929513,90930457
"412","MSTRG.10022",2835.534956,-0.22223554,0.052075147,5.59e-06,5.6e-05,"7",91188607,91188737
"417","MSTRG.10023",4706.756844,-0.147060436,0.039413968,0.000114,0.000681,"7",91210879,91211060
"481","MSTRG.10024",3025.591966,0.096422045,0.059304346,0.080553189,0.159972107,"7",91624404,91624838
"491","MSTRG.10025",1137.860134,-0.221416474,0.112574912,0.012600026,0.0353425,"7",91642332,91642578
"502","MSTRG.10026",783.6275982,-0.286910031,0.101109976,0.000563,0.00263262,"7",91664379,91665380
"504","MSTRG.10027",9936.001261,0.14972608,0.029797904,3.01e-07,4.79e-06,"7",91702668,91703103
"534","MSTRG.10028",10417.89774,0.079004633,0.039143646,0.03733027,0.086471125,"7",91949441,91949535
"539","MSTRG.10029",4869.608131,-0.27113461,0.208120249,0.032613306,0.077424996,"7",91944934,91945135
"599","MSTRG.1003",913.8165324,2.379974056,0.842750397,2.64e-05,0.000198,"1",259651102,259651226
"608","MSTRG.10030",104.5471232,-0.059669966,0.15039609,0.546239036,0.678913978,"7",92023726,92025726
"613","MSTRG.10031",7839.038867,0.830493549,0.192351778,1.21e-06,1.58e-05,"7",92045113,92045376
"704","MSTRG.10032",858.2186872,0.068054238,0.126306641,0.461986339,0.603859204,"7",92982427,92984511
"714","MSTRG.10033",1840.579585,0.035199101,0.050563833,0.46379913,0.605469504,"7",93118714,93118818
"724","MSTRG.10034",1404.574473,0.00294281,0.04062851,0.940341652,0.96359548,"7",93120454,93120795
"730","MSTRG.10035",5769.061291,-0.057597963,0.106083023,0.49622587,0.635520116,"7",93217573,93218121
"739","MSTRG.10036",2769.830358,0.32695046,0.135867037,0.001411168,0.005666523,"7",93336207,93342775
"742","MSTRG.10037",2197.492093,-0.237690556,0.07614493,0.000406,0.001992495,"7",93358279,93358723
"754","MSTRG.10038",143.0718944,-0.121717777,0.151164446,0.229842178,0.364402183,"7",95312765,95314723
"757","MSTRG.10039",1779.485657,0.021214316,0.046705056,0.635242205,0.751816281,"7",95825361,95841997
"768","MSTRG.1004",11866.83321,0.031813576,0.068612078,0.610298532,0.732431126,"1",259801881,259803790
"780","MSTRG.10040",604.459712,-1.932044341,0.349247351,5.43e-10,2.04e-08,"7",95870606,95870846
"788","MSTRG.10041",13456.56401,-0.070560763,0.056398113,0.182091218,0.305378388,"7",95924781,95929773
"790","MSTRG.10042",4525.561659,-0.27278626,0.067912336,8.54e-06,7.9e-05,"7",95933762,95933943
"816","MSTRG.10043",2015.225637,0.099035292,0.037824648,0.007004552,0.021770575,"7",95940289,95940521
"823","MSTRG.10044",4392.920913,0.127564854,0.072632766,0.050127027,0.109552882,"7",96567706,96567929
"847","MSTRG.10045",1845.134495,0.09058193,0.107019942,0.287800532,0.42988266,"7",96604588,96613500
"861","MSTRG.10046",2242.327187,0.152772097,0.09502186,0.053833011,0.116224943,"7",96626821,96626980
"872","MSTRG.10047",401.3221585,0.344064749,0.201207412,0.008270465,0.024985446,"7",96682075,96682271
"883","MSTRG.10048",22474.61248,0.00653965,0.060604116,0.907556487,0.94290968,"7",96781864,96782125
"1035","MSTRG.10049",2752.58443,0.073384965,0.042636552,0.074145427,0.149574677,"7",97258399,97264147
"1046","MSTRG.1005",1991.479219,0.110781608,0.07590607,0.100511832,0.190771955,"1",259830177,259834983
"1048","MSTRG.10050",4639.116703,0.296746398,0.171138953,0.010594668,0.030669981,"7",97329131,97329304
"1056","MSTRG.10051",13926.96609,-0.037515022,0.034998065,0.272046557,0.412832897,"7",97265513,97265638
"1061","MSTRG.10052",9221.546088,-0.074171372,0.045101881,0.086577895,0.169446062,"7",97272223,97272355
"1070","MSTRG.10053",20540.69545,0.162612498,0.031904315,1.86e-07,3.15e-06,"7",97277191,97277377
"1149","MSTRG.10054",233.055137,-1.280641782,0.289190915,7.41e-07,1.04e-05,"7",97472382,97472502
"1165","MSTRG.10055",5267.162648,-1.583329222,0.315626386,2.48e-08,5.62e-07,"7",97549665,97561304
"1174","MSTRG.10056",761.0372806,0.207830007,0.089611992,0.006261389,0.019840484,"7",97818225,97820265
"1176","MSTRG.10057",179.0830515,0.33422178,0.123168262,0.000518,0.00245273,"7",97825365,97825635
"1183","MSTRG.10058",88.83467508,-0.200646214,0.230387922,0.113304067,0.20972862,"7",98859960,98860122
"1192","MSTRG.10059",728.3108764,0.341493346,0.187535087,0.006334304,0.020012368,"7",101692527,101695172
"1195","MSTRG.1006",25168.81491,0.314381947,0.082150208,1.1e-05,9.82e-05,"1",259868221,259868366
"1251","MSTRG.10060",522.7549577,0.263422403,0.129514156,0.006917848,0.021551088,"7",101815316,101815404
"1260","MSTRG.10061",14204.66096,0.077333872,0.050611886,0.107493837,0.201215531,"7",101986644,102008565
"1281","MSTRG.10062",33.70321979,0.247466056,0.246963961,0.067528419,0.139266536,"7",101988531,101990534
"1283","MSTRG.10063",16.13861284,0.17025508,0.174810022,0.122715365,0.223647431,"7",101994644,101994754
"1288","MSTRG.10064",4007.451846,0.198035404,0.088653169,0.008669102,0.026028352,"7",102006594,102008092
"1302","MSTRG.10065",2129.423072,-0.393146416,0.128431692,0.000104,0.000633,"7",102780611,102780740
"1390","MSTRG.10066",418.4308018,0.042449306,0.067627605,0.491347575,0.630784795,"7",102836256,102852065
"1400","MSTRG.10067",5434.118297,0.08586246,0.046963056,0.055816971,0.119575872,"7",102852149,102880005
"1417","MSTRG.10068",1532.789233,-0.276241786,0.105135544,0.001212142,0.00500098,"7",103069818,103076044
"1419","MSTRG.10069",4161.463397,-0.004229831,0.040564566,0.914209847,0.947323146,"7",103126809,103126868
"1428","MSTRG.1007",16967.81212,-0.080578436,0.06432031,0.172968338,0.293445704,"1",260632648,260632712
"1465","MSTRG.10070",6.759001892,-1.580418841,0.390501004,1.86e-06,2.26e-05,"7",103113622,103113951
"1467","MSTRG.10071",19.56805039,-1.708844561,0.257454234,1.14e-12,8.43e-11,"7",103113960,103114691
"1469","MSTRG.10072",392.6148768,-0.86997031,0.097053202,5.61e-20,1.58e-17,"7",103139155,103139557
"1474","MSTRG.10073",329.1865299,-0.204924839,0.104737732,0.015435261,0.041786181,"7",103146907,103147006
"1480","MSTRG.10074",133.0879181,-0.207787925,0.152763012,0.048417417,0.106462695,"7",103588046,103588195
"1491","MSTRG.10075",97.71341809,-0.440862579,0.159085603,0.000233,0.001239902,"7",103612626,103612937
"1493","MSTRG.10076",230.5482224,-1.193778673,0.178970467,3.43e-12,2.27e-10,"7",103677571,103678143
"1513","MSTRG.10077",113.9883183,-0.133151086,0.152817134,0.193064971,0.319187517,"7",103730643,103730703
"1519","MSTRG.10078",2693.064566,0.063699614,0.052046064,0.196129044,0.323090447,"7",104796742,104797062
"1527","MSTRG.10079",4954.98508,0.393571176,0.177822386,0.001626616,0.006378715,"7",105013071,105013312
"1536","MSTRG.1008",867.073742,0.328457175,0.096725119,5.14e-05,0.000349,"1",260807149,260807183
"1542","MSTRG.10080",2837.50187,0.107445395,0.032338689,0.000685,0.00310287,"7",105048557,105079082
"1568","MSTRG.10081",856.7458141,-0.635196608,0.121952285,1.04e-08,2.68e-07,"7",105372639,105375495
"1573","MSTRG.10082",899.1785098,-0.01580008,0.054100971,0.756870135,0.844475114,"7",105419729,105420437
"1586","MSTRG.10083",328.8634598,0.011687518,0.079587191,0.867514362,0.917504006,"7",105608679,105608740
"1594","MSTRG.10084",5312.520382,-0.209978893,0.079108489,0.002443238,0.008972676,"7",106104517,106104830
"1601","MSTRG.10085",999.9269848,-0.212627138,0.085166504,0.003697988,0.012753377,"7",106679345,106679425
"1608","MSTRG.10086",2602.738847,0.146143639,0.043498156,0.000467,0.002248074,"7",107717326,107717493
"1618","MSTRG.10087",547.811083,-0.348740101,0.116132166,0.000175,0.000975,"7",107721560,107721973
"1620","MSTRG.10088",2986.924334,0.092909969,0.101138401,0.2595835,0.39919498,"7",107783742,107783918
"1627","MSTRG.10089",5032.902879,0.499090396,0.108160461,1.18e-07,2.15e-06,"7",107785888,107785997
"1638","MSTRG.1009",11486.20401,-0.183108256,0.057637957,0.000634,0.002911426,"1",260870887,260942574
"1715","MSTRG.10090",3019.710578,0.064407091,0.05798526,0.234515394,0.370236492,"7",107838298,107845555
"1719","MSTRG.10091",885.3863962,0.347136128,0.154735076,0.001943054,0.007415839,"7",108042112,108042772
"1722","MSTRG.10092",1134.301419,0.273018318,0.159457741,0.013447626,0.03731635,"7",108084202,108084284
"1728","MSTRG.10093",218.8784025,0.21108603,0.24880909,0.109887273,0.204700217,"7",108098137,108122308
"1735","MSTRG.10094",4551.49254,0.196412069,0.066378876,0.001127573,0.004710085,"7",108123068,108123671
"1742","MSTRG.10095",8348.868155,-0.256531192,0.090866049,0.000843,0.003697584,"7",108140085,108140213
